song	performer	count	decade
In My Dreams	REO Speedwagon	30	1980
Celebration	Kool & The Gang	30	1980
Our Lips Are Sealed	Go-Go's	30	1980
I'll Always Love You	Taylor Dayne	30	1980
Borderline	Madonna	30	1980
I Know There's Something Going On	Frida	29	1980
You And I	Eddie Rabbitt With Crystal Gayle	29	1980
Break My Stride	Matthew Wilder	29	1980
You Can Call Me Al	Paul Simon	29	1980
Total Eclipse Of The Heart	Bonnie Tyler	29	1980
Key Largo	Bertie Higgins	29	1980
"Wind Beneath My Wings (From ""Beaches"")"	Bette Midler	29	1980
Hands To Heaven	Breathe	29	1980
"Tonight, I Celebrate My Love"	Peabo Bryson/Roberta Flack	29	1980
I Miss You	Klymaxx	29	1980
Upside Down	Diana Ross	29	1980
Keep On Loving You	REO Speedwagon	28	1980
Only In My Dreams	Debbie Gibson	28	1980
Please Don't Go Girl	New Kids On The Block	28	1980
Chariots Of Fire - Titles	Vangelis	28	1980
Hooked On You	Sweet Sensation	28	1980
"Kokomo (From""Cocktail"" )"	The Beach Boys	28	1980
Don't You Want Me	The Human League	28	1980
Here I Go Again	Whitesnake	28	1980
I Love A Rainy Night	Eddie Rabbitt	28	1980
What's Love Got To Do With It	Tina Turner	28	1980
When I'm With You	Sheriff	28	1980
"In Your Eyes (Theme From ""Say Anything"")"	Peter Gabriel	28	1980
Hurts So Good	John Cougar	28	1980
Hot In The City	Billy Idol	27	1980
Heart And Soul	T'Pau	27	1980
Take On Me	a-ha	27	1980
Naughty Girls (Need Love Too)	Samantha Fox	27	1980
Who Can It Be Now?	Men At Work	27	1980
The Loco-Motion	Kylie Minogue	27	1980
Endless Love	Diana Ross & Lionel Richie	27	1980
1999	Prince	27	1980
Mickey	Toni Basil	27	1980
Queen Of Hearts	Juice Newton	27	1980
Missing You	Diana Ross	27	1980
On The Dark Side	John Cafferty & The Beaver Brown Band	27	1980
I Love You	Climax Blues Band	27	1980
Steppin' Out	Joe Jackson	27	1980
A Woman Needs Love (Just Like You Do)	Ray Parker Jr. & Raydio	27	1980
Something About You	Level 42	27	1980
All Out Of Love	Air Supply	27	1980
867-5309/jenny	Tommy Tutone	27	1980
"Wild, Wild West"	The Escape Club	27	1980
Twilight Zone	Golden Earring	27	1980
The Flame	Cheap Trick	27	1980
Conga	Miami Sound Machine	27	1980
"Don't Worry, Be Happy (From ""Cocktail"")"	Bobby McFerrin	26	1980
"Tarzan Boy (From ""Teenage Mutant Ninja Turtles III"")"	Baltimora	26	1980
I Feel For You	Chaka Khan	26	1980
The Lady In Red	Chris de Burgh	26	1980
You Got It All	The Jets	26	1980
I Hate Myself For Loving You	Joan Jett & the Blackhearts	26	1980
The Winner Takes It All	ABBA	26	1980
I Still Believe	Brenda K. Starr	26	1980
All Cried Out	Lisa Lisa And Cult Jam With Full Force Featuring Paul Anthony & Bow Legged Lou	26	1980
I Just Called To Say I Love You	Stevie Wonder	26	1980
I Found Someone	Cher	26	1980
You Got It (The Right Stuff)	New Kids On The Block	26	1980
Caribbean Queen (No More Love On The Run)	Billy Ocean	26	1980
He's So Shy	The Pointer Sisters	26	1980
Fame	Irene Cara	26	1980
Don't Be Cruel	Bobby Brown	26	1980
Bette Davis Eyes	Kim Carnes	26	1980
9 To 5	Dolly Parton	26	1980
Physical	Olivia Newton-John	26	1980
Talking In Your Sleep	The Romantics	26	1980
The Tide Is High	Blondie	26	1980
Once Bitten Twice Shy	Great White	26	1980
Sweet Dreams (Are Made Of This)	Eurythmics	26	1980
Girl You Know It's True	Milli Vanilli	26	1980
The Glamorous Life	Sheila E.	26	1980
"Theme From ""Greatest American Hero"" (Believe It or Not)"	Joey Scarbury	26	1980
Straight Up	Paula Abdul	25	1980
I Can Dream About You	Dan Hartman	25	1980
Cherish	Kool & The Gang	25	1980
Meet Me Half Way	Kenny Loggins	25	1980
Angel	Aerosmith	25	1980
Strut	Sheena Easton	25	1980
Eye In The Sky	The Alan Parsons Project	25	1980
Piano In The Dark	Brenda Russell Featuring Joe Esposito	25	1980
Perfect Way	Scritti Politti	25	1980
Wild Thing	Tone-Loc	25	1980
Wishing Well	Terence Trent D'Arby	25	1980
The Look Of Love (Part One)	ABC	25	1980
With You I'm Born Again	Billy Preston & Syreeta	25	1980
I Go Crazy	Paul Davis	40	1970
Why Me	Kris Kristofferson	38	1970
How Deep Is Your Love	Bee Gees	33	1970
Feelings	Morris Albert	32	1970
Baby Come Back	Player	32	1970
I Love The Nightlife (Disco 'round)	Alicia Bridges	31	1970
I Just Want To Be Your Everything	Andy Gibb	31	1970
Hot Child In The City	Nick Gilder	31	1970
Superstar	Murray Head With The Trinidad Singers	31	1970
Disco Inferno	The Trammps	29	1970
Devil's Gun	C.J. & Company	29	1970
Dream On	Aerosmith	29	1970
(Love Is) Thicker Than Water	Andy Gibb	29	1970
A Fifth Of Beethoven	Walter Murphy & The Big Apple Band	28	1970
"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)"	Chic	28	1970
Sara Smile	Daryl Hall John Oates	28	1970
Dance With Me	Peter Brown With Betty Wright	28	1970
One Hell Of A Woman	Mac Davis	28	1970
Falling	LeBlanc & Carr	28	1970
She's Gone	Daryl Hall John Oates	28	1970
On And On	Stephen Bishop	28	1970
Love Machine (Part 1)	The Miracles	28	1970
I Will Survive	Gloria Gaynor	27	1970
Stayin' Alive	Bee Gees	27	1970
"December, 1963 (Oh, What a Night)"	The 4 Seasons	27	1970
Just The Way You Are	Billy Joel	27	1970
I Like Dreamin'	Kenny Nolan	27	1970
Send In The Clowns	Judy Collins	27	1970
I Never Cry	Alice Cooper	27	1970
"Black Superman - ""Muhammad Ali"""	Johnny Wakelin & The Kinshasa Band	27	1970
Boogie Nights	Heatwave	27	1970
Angel In Your Arms	Hot	27	1970
Sad Eyes	Robert John	27	1970
Love Is Alive	Gary Wright	27	1970
(your Love Has Lifted Me) Higher And Higher	Rita Coolidge	27	1970
We Will Rock You/We Are The Champions	Queen	27	1970
Emotion	Samantha Sang	27	1970
Don't It Make My Brown Eyes Blue	Crystal Gayle	26	1970
Get Closer	Seals & Crofts (Featuring Carolyn Willis)	26	1970
Whatcha Gonna Do?	Pablo Cruise	26	1970
You Needed Me	Anne Murray	26	1970
Kiss And Say Goodbye	The Manhattans	26	1970
I've Found Someone Of My Own	The Free Movement	26	1970
Y.M.C.A.	Village People	26	1970
You Don't Have To Be A Star (To Be In My Show)	"Marilyn McCoo & Billy Davis, Jr."	26	1970
Shadow Dancing	Andy Gibb	25	1970
Le Freak	Chic	25	1970
Undercover Angel	Alan O'Day	25	1970
When You're In Love With A Beautiful Woman	Dr. Hook	25	1970
Layla	Derek & The Dominos	25	1970
Love Is Like Oxygen	Sweet	25	1970
Nobody Does It Better	Carly Simon	25	1970
Feels So Good	Chuck Mangione	25	1970
"More, More, More Pt. 1"	Andrea True Connection	25	1970
"Evergreen (Love Theme From ""A Star Is Born"")"	Barbra Streisand	25	1970
Disco Duck (Part I)	Rick Dees & His Cast Of Idiots	25	1970
You Make Me Feel Brand New	The Stylistics	25	1970
Rock On	David Essex	25	1970
You Light Up My Life	Debby Boone	25	1970
Play That Funky Music	Wild Cherry	25	1970
Ballroom Blitz	Sweet	25	1970
Turn The Beat Around	Vicki Sue Robinson	25	1970
For The Good Times	Ray Price	24	1970
You're The One That I Want	John Travolta & Olivia Newton-John	24	1970
That's Rock 'N' Roll	Shaun Cassidy	24	1970
I'd Really Love To See You Tonight	England Dan & John Ford Coley	24	1970
Goodbye Girl	David Gates	24	1970
I Honestly Love You	Olivia Newton-John	24	1970
Hot Line	The Sylvers	24	1970
I'll Never Love This Way Again	Dionne Warwick	24	1970
Makin' It	David Naughton	24	1970
A Little Bit More	Dr. Hook	24	1970
Don't Leave Me This Way	Thelma Houston	24	1970
Bohemian Rhapsody	Queen	24	1970
Swayin' To The Music (slow Dancin')	Johnny Rivers	24	1970
Midnight At The Oasis	Maria Muldaur	24	1970
Amos Moses	Jerry Reed	24	1970
Theme From S.W.A.T.	Rhythm Heritage	24	1970
Heaven Must Have Sent You	Bonnie Pointer	23	1970
Love Will Keep Us Together	Captain & Tennille	23	1970
Magic Man	Heart	23	1970
Best Of My Love	The Emotions	23	1970
Love So Right	Bee Gees	23	1970
I Feel Love	Donna Summer	23	1970
Fire	The Pointer Sisters	23	1970
Sweet Love	Commodores	23	1970
"Take Me Home, Country Roads"	John Denver	23	1970
Two Out Of Three Ain't Bad	Meat Loaf	23	1970
Kiss You All Over	Exile	23	1970
Lead Me On	Maxine Nightingale	23	1970
Rise	Herb Alpert	23	1970
Tie A Yellow Ribbon Round The Ole Oak Tree	Dawn Featuring Tony Orlando	23	1970
Don't Cry Out Loud	Melissa Manchester	23	1970
Take It To The Limit	Eagles	23	1970
Heaven On The 7th Floor	Paul Nicholas	23	1970
Love Hurts	Nazareth	23	1970
I'm Your Boogie Man	KC And The Sunshine Band	23	1970
Deep Purple	Donny & Marie Osmond	23	1970
The Way We Were	Barbra Streisand	23	1970
Yellow River	Christie	23	1970
The Twist	Chubby Checker	40	1960
Wipe Out	The Surfaris	30	1960
Harlem Nocturne	The Viscounts	28	1960
Moon River	Henry Mancini And His Orchestra	27	1960
Never On Sunday	Don Costa And His Orchestra And Chorus	26	1960
Sunshine Of Your Love	Cream	26	1960
Finger Poppin' Time	Hank Ballard And The Midnighters	26	1960
Get Together	The Youngbloods	25	1960
Please Mr. Postman	The Marvelettes	24	1960
Sixteen Reasons	Connie Stevens	24	1960
Let's Twist Again	Chubby Checker	24	1960
I'm Sorry	Brenda Lee	23	1960
Light My Fire	The Doors	23	1960
I'll Never Fall In Love Again	Tom Jones	23	1960
North To Alaska	Johnny Horton	23	1960
Limbo Rock	Chubby Checker	23	1960
But It's Alright	J.J. Jackson	23	1960
Tossin' And Turnin'	Bobby Lewis	23	1960
"Sugar, Sugar"	The Archies	22	1960
"The Good, The Bad And The Ugly"	"Hugo Montenegro, His Orchestra And Chorus"	22	1960
"Hello, Dolly!"	Louis Armstrong And The All Stars	22	1960
"Please Help Me, I'm Falling"	Hank Locklin	22	1960
He'll Have To Go	Jim Reeves	22	1960
Sweet Nothin's	Brenda Lee	22	1960
Born Free	Roger Williams	21	1960
Only The Lonely (Know How I Feel)	Roy Orbison	21	1960
Hurt So Bad	The Lettermen	21	1960
Stranger On The Shore	Mr. Acker Bilk	21	1960
"The Theme From ""A Summer Place"""	Percy Faith And His Orchestra	21	1960
Exodus	Ferrante & Teicher	21	1960
Lonely Weekends	Charlie Rich	21	1960
I Left My Heart In San Francisco	Tony Bennett	21	1960
It's Now Or Never	Elvis Presley With The Jordanaires	20	1960
I Know (You Don't Love Me No More)	Barbara George	20	1960
Theme From The Apartment	Ferrante & Teicher	20	1960
Let The Little Girl Dance	Billy Bland	20	1960
I Fall To Pieces	Patsy Cline	20	1960
Going In Circles	The Friends Of Distinction	20	1960
Mission Bell	Donnie Brooks	20	1960
Last Date	Floyd Cramer	20	1960
Town Without Pity	Gene Pitney	20	1960
Greenfields	The Brothers Four	20	1960
Up On The Roof	The Drifters	20	1960
Love You So	Ron Holden with The Thunderbirds	19	1960
Hot Rod Lincoln	Charlie Ryan and the Timberline Riders	19	1960
Will You Love Me Tomorrow	The Shirelles	19	1960
Devil Or Angel	Bobby Vee	19	1960
My True Story	The Jive Five With Joe Rene And Orchestra	19	1960
Hey Jude	The Beatles	19	1960
The Wanderer	Dion	19	1960
Cotton Fields	The Highwaymen	19	1960
Mountain Of Love	Harold Dorman	19	1960
It's Getting Better	Mama Cass	19	1960
Let Me In	The Sensations	19	1960
Everyday People	Sly & The Family Stone	19	1960
Peppermint Twist - Part I	Joey Dee & the Starliters	19	1960
People	Barbra Streisand	19	1960
I Love You	People	18	1960
Days Of Wine And Roses	Henry Mancini And His Orchestra	18	1960
Goodbye Cruel World	James Darren	18	1960
Love Is Blue (L'amour Est Bleu)	Paul Mauriat And His Orchestra	18	1960
Mashed Potato Time	Dee Dee Sharp	18	1960
Save The Last Dance For Me	The Drifters	18	1960
Moon River	Jerry Butler	18	1960
Do You Love Me	The Contours	18	1960
Hang 'Em High	Booker T. & The MG's	18	1960
Sink The Bismark	Johnny Horton	18	1960
Boogaloo Down Broadway	The Fantastic Johnny C	18	1960
He's A Rebel	The Crystals	18	1960
Wings Of A Dove	Ferlin Husky	18	1960
Wooly Bully	Sam The Sham and the Pharaohs	18	1960
Once In Awhile	The Chimes	18	1960
Everybody's Somebody's Fool	Connie Francis	18	1960
Alley Cat	Bent Fabric and His Piano	18	1960
Cast Your Fate To The Wind	Vince Guaraldi Trio	18	1960
Just Out Of Reach (Of My Two Open Arms)	Solomon Burke	18	1960
Stay	Maurice Williams & The Zodiacs	18	1960
Mockingbird	Inez Foxx with Charlie Foxx	18	1960
Louie Louie	The Kingsmen	18	1960
Mule Skinner Blues	The Fendermen	18	1960
Image Of A Girl	Safaris with The Phantom's Band	18	1960
Sailor (Your Home Is The Sea)	Lolita	18	1960
I Can't Stop Loving You	Ray Charles	18	1960
Walk -- Don't Run	The Ventures	18	1960
Money (That's what I want)	Barrett Strong	17	1960
Knock On Wood	Eddie Floyd	17	1960
Apache	Jorgen Ingmann & His Guitar	17	1960
Kiddio	Brook Benton	17	1960
Any Way That You Want Me	Evie Sands	17	1960
Fannie Mae	Buster Brown	17	1960
Burning Bridges	Jack Scott	17	1960
I Heard It Through The Grapevine	Gladys Knight And The Pips	17	1960
Denise	Randy & The Rainbows	17	1960
Am I That Easy To Forget	Debbie Reynolds	17	1960
I Can't Get Next To You	The Temptations	17	1960
Go Away Little Girl	Steve Lawrence	17	1960
Blue's Theme	Davie Allan And The Arrows	17	1960
Walk On By	Leroy Van Dyke	17	1960
Norman	Sue Thompson	17	1960
Do Your Thing	The Watts 103rd Street Rhythm Band	17	1960
