song,performer,count,year
Can't Believe It,T-Pain Featuring Lil Wayne,20,2008
Takin' Shots,Post Malone,3,2018
Say It Isn't So,Daryl Hall John Oates,10,1983
BEBE,6ix9ine Featuring Anuel AA,5,2018
Battlefield,Jordin Sparks,22,2009
Daydream Believer,The Monkees,7,1967
Bank Account,21 Savage,23,2017
Settle Down,No Doubt,8,2012
Sacrifices,Drake Featuring 2 Chainz & Young Thug,3,2017
(Just Like) Starting Over,John Lennon,9,1980
Deeper And Deeper,Madonna,4,1992
Can't Say,Travis Scott,2,2018
Over You,Gary Puckett And The Union Gap,11,1968
The Boy From New York City,The Ad Libs,10,1965
Both Sides Now,Judy Collins,8,1968
Susan,The Buckinghams,8,1968
Sister Golden Hair,America,16,1975
Abracadabra,The Steve Miller Band,25,1982
All My Life,Linda Ronstadt (Featuring Aaron Neville),15,1990
Party Lights,Claudine Clark,15,1962
All Night Long,Faith Evans Featuring Puff Daddy,19,1999
The Cha-Cha-Cha,Bobby Rydell,11,1962
Dirty White Boy,Foreigner,14,1979
Cum On Feel The Noize,Quiet Riot,16,1983
Cherish,Kool & The Gang,25,1985
Puttin' On The Ritz,Taco,21,1983
"634-5789 (Soulsville, U.S.A.)",Wilson Pickett,11,1966
Smooth Criminal,Michael Jackson,8,1988
Ain't Too Proud To Beg,The Temptations,13,1966
Super Bad (Part 1 & Part 2),James Brown,10,1970
"Sunshine, Lollipops And Rainbows",Lesley Gore,11,1965
Opportunities (Let's Make Lots Of Money),Pet Shop Boys,16,1986
Bust It Baby Part 2,Plies Featuring Ne-Yo,22,2008
Sweet Surrender,John Denver,10,1975
Angel,Sarah McLachlan,24,1999
My Baby Loves Lovin',White Plains,15,1970
Get Drunk And Be Somebody,Toby Keith,20,2006
Hotel Key,Old Dominion,19,2018
I Didn't Mean To Stay All Night,Starship,6,1989
I'm Throwed,Paul Wall Featuring Jermaine Dupri,4,2007
Little White Church,Little Big Town,20,2010
I Have Learned To Do Without You,Mavis Staples,4,1970
I Can't Believe You Love Me,Tammi Terrell,5,1966
Just Yesterday,Al Martino,4,1966
It's For You,Springwell,10,1971
Flower Of Love,The Crests featuring Johnny Mastro,6,1959
Dream Boy,Annette With The Afterbeats,2,1961
Gorilla,Bruno Mars,15,2013
From Where You Are,Lifehouse,2,2007
I Wasn't With It,Jesse Powell,9,1998
Little Sister,Queens Of The Stone Age,9,2005
Make Love To Me,Helen Reddy,10,1979
I Can't Say Goodbye To You,Helen Reddy,3,1981
Give It Up,ZZ Top,5,1991
Life During Wartime (This Ain't No Party...This Ain't No Disco...This Ain't,Talking Heads,5,1979
I'm Going Down,Rose Royce,7,1977
How High The Moon,Gloria Gaynor,5,1975
Fireball,Pitbull Featuring John Ryan,19,2014
Keep Your Hands In Your Pockets,The Playmates,2,1962
My Love,Julio Iglesias Featuring Stevie Wonder,5,1988
I Shot Mr. Lee,The Bobbettes,8,1960
Milord,Edith Piaf,3,1961
Flowers On The Wall,Eric Heatherly,20,2000
I Call It Love,Lionel Richie,20,2006
Happy With You,Samantha Cole,5,1997
Light It Up,Major Lazer Featuring Nyla & Fuse ODG,20,2016
Lost Someone,James Brown And The Famous Flames,8,1962
Kissin' Time,KISS,5,1974
I've Been Born Again,Johnnie Taylor,4,1974
If I Could See The Light,The 8th Day,4,1972
Funky Man,Kool & The Gang,4,1970
King Of The Dancehall,Beenie Man,12,2004
I Walk Alone,Marty Robbins,8,1968
Jimmy Loves Mary-Anne,Looking Glass,15,1973
Love All Over Me,Monica,17,2010
Never Gonna Let Him Know,Debbie Taylor,6,1969
My Old Friend,Tim McGraw,5,2005
Never Been Kissed,Sherrie Austin,10,1999
His Kiss,Betty Harris,4,1964
Flashback,The 5th Dimension,6,1974
Not Enough Time,INXS,15,1992
Misty,Ray Stevens,16,1975
I Don't Know How To Love Him,Yvonne Elliman,10,1971
Happiness,The Pointer Sisters,10,1979
I Can Sing A Rainbow/Love Is Blue,The Dells,10,1969
Folsom Prison Blues,Johnny Cash,12,1968
Hollywood,Rufus Featuring Chaka Khan,8,1977
I Can Make It With You,Pozo Seco Singers,11,1966
"Hey Jean, Hey Dean",Dean And Jean,8,1964
Obsession,Animotion,24,1985
Nite And Day,Al B. Sure!,21,1988
"Get Down, Get Down (Get On The Floor)",Joe Simon,17,1975
Focus,Ariana Grande,7,2016
One More Time,Real McCoy,20,1997
I Don't Want To Take A Chance,Mary Wells,9,1961
Just A Song Before I Go,"Crosby, Stills & Nash",21,1977
Maybe I'm A Fool,Eddie Money,13,1979
Forget Me Nots,Patrice Rushen,16,1982
Miles Away,Winger,12,1990
I Believe,The Bachelors,8,1964
If Ever I See You Again,Roberta Flack,13,1978
Girlfriend,B2K,13,2003
I Play And Sing,Dawn,8,1971
Music To Watch Girls By,Andy Williams,8,1967
Any Day Now (My Wild Beautiful Bird),Chuck Jackson,12,1962
Best Friend,50 Cent & Olivia,15,2006
As,Stevie Wonder,5,1978
Cheers 2 U,Playa,20,1998
Raining On Sunday,Keith Urban,19,2003
Don't Throw Your Love Away,The Searchers,11,1964
Online,Brad Paisley,20,2007
Ready To Run,Dixie Chicks,18,1999
As She's Walking Away,Zac Brown Band Featuring Alan Jackson,18,2010
Catch Us If You Can,The Dave Clark Five,11,1965
Studio,ScHoolboy Q Featuring BJ The Chicago Kid,20,2014
So Far Away,Dire Straits,14,1986
Something To Be Proud Of,Montgomery Gentry,20,2005
Almost Grown,Chuck Berry,13,1959
It Must Be Love,Alton McClain & Destiny,12,1979
Love Me Again,John Newman,14,2014
Let's Work Together (Part 1),Wilbert Harrison,9,1970
Like This,Mims,20,2007
Just Dropped In (To See What Condition My Condition Was In),The First Edition,10,1968
Little Deuce Coupe,The Beach Boys,11,1963
Drink A Beer,Luke Bryan,14,2014
I'm Still A Guy,Brad Paisley,20,2008
In A Moment,The Intrigues,14,1969
Little Diane,Dion,11,1962
Just Be True,Gene Chandler,10,1964
Living And Living Well,George Strait,20,2002
Instant Replay,Dan Hartman,12,1978
Kids In America,Kim Wilde,18,1982
Making Memories Of Us,Keith Urban,20,2005
I Don't Have To Be Me ('til Monday),Steve Azar,20,2002
Love You Out Loud,Rascal Flatts,20,2003
I Don't Wanna,Aaliyah,20,2000
Don't You Wanna Stay,Jason Aldean With Kelly Clarkson,6,2010
Don't You Want Me,Jody Watley,10,1988
Doomsday Clock,The Smashing Pumpkins,1,2007
Dope,Tyga Featuring Rick Ross,10,2013
Double Vision,3OH!3,4,2010
I Don't Want To Miss A Thing,Aerosmith,17,1998
I Believe,Fantasia,10,2004
I Get Lonely,Janet Featuring BLACKstreet,20,1998
I Knew You Were Trouble.,Taylor Swift,9,2012
Jesus To A Child,George Michael,14,1996
Forever,Chris Brown,33,2008
Fever,Peggy Lee,12,1958
Let The Heartaches Begin,Long John Baldry,2,1968
Holding You Down (Goin In Circles),Jazmine Sullivan,12,2010
How About That,Dee Clark,4,1959
I'm Gonna Love You,The Intrigues,2,1969
Jumpin' Jack Flash,Johnny Winter,2,1971
Groovin' With Mr. Bloe,Cool Heat,3,1970
Love Grammar,John Parr,2,1985
Fly,Maddie & Tae,14,2015
Gotta Travel On,Timi Yuro,7,1963
Every Day,Rascal Flatts,17,2008
Happy,Paul Anka,3,1969
Hello Pretty Girl,Ronnie Dove,7,1965
Next To You,Chris Brown Featuring Justin Bieber,3,2011
Music,John Miles,3,1976
Freak-A-Ristic,Atlantic Starr,6,1985
I'm For Real,Howard Hewett,3,1986
Mary Ann Thomas,Bobby Freeman,2,1959
I Received A Letter,Delbert & Glen,3,1972
Linda Lu,Ray Sharpe,13,1959
I'll Take You There,BeBe & CeCe Winans Featuring Mavis Staples,6,1992
Honey Love,Narvel Felts,2,1960
Mojo Workout (Dance),Larry Bright,3,1960
Freedom For The Stallion,The Hues Corporation,8,1973
Get The Message,Brian Hyland,2,1967
Here Comes Heaven,Eddy Arnold,4,1967
How Could I Let You Get Away,The Spinners,4,1972
Lost Without U,Robin Thicke,2,2006
Love Is Blind,Eve Featuring Faith Evans,16,2000
Let It Rain,David Nail Featuring Sarah Buxton,14,2011
Like I Loved You,Brett Young,12,2017
"Liar, Liar",The Castaways,14,1965
Let Me Be The One,The Paris Sisters,5,1962
If Only I Had My Mind On Something Else,Bee Gees,3,1970
Lifestyles Of The Rich And Shameless,Lost Boyz,6,1995
(All of a Sudden) My Heart Sings,Paul Anka,2,1958
Red Light Special,TLC,22,1995
Somethin' Bad,Miranda Lambert Duet With Carrie Underwood,20,2014
"Say You, Say Me",Lionel Richie,8,1985
Starboy,The Weeknd Featuring Daft Punk,13,2016
Susie Darlin',Robin Luke,17,1958
I Want To Be Wanted,Brenda Lee,15,1960
How Can I Be Sure,The Young Rascals,11,1967
Next Door To An Angel,Neil Sedaka,11,1962
Kodachrome,Paul Simon,14,1973
I'll Never Fall In Love Again,Dionne Warwick,10,1970
Get It Poppin',Fat Joe Featuring Nelly,20,2005
It's A Man's Man's Man's World,James Brown And The Famous Flames,9,1966
Hang On Sloopy,The McCoys,14,1965
Far Away,Nickelback,22,2006
Judy In Disguise (With Glasses),John Fred And The Playboys,6,1967
It Ain't Me Babe,The Turtles,11,1965
Let It Be Me,The Everly Brothers,15,1960
Nothing But Heartaches,The Supremes,9,1965
Make It Happen,Mariah Carey,20,1992
Let's Stay Together,Al Green,12,1972
Free Your Mind,En Vogue,16,1992
I Wanna Love You Forever,Jessica Simpson,11,1999
El Paso,Marty Robbins,8,1959
Let's Get Together,Hayley Mills and Hayley Mills,14,1961
Money Maker,Ludacris Featuring Pharrell,19,2006
My Hometown,Bruce Springsteen,11,1986
Frankie,Connie Francis,15,1959
I Started A Joke,Bee Gees,9,1969
Little Children,Billy J. Kramer With The Dakotas,15,1964
Obsession (No Es Amor),Frankie J Featuring Baby Bash,21,2005
In My Bed,Dru Hill,25,1997
Long Cool Woman (In A Black Dress),The Hollies,15,1972
Girlfriend,'N Sync Featuring Nelly,20,2002
It Feels So Good,Sonique,24,2000
I Was Made To Love Her,Stevie Wonder,15,1967
Hollywood Nights,Bob Seger & The Silver Bullet Band,13,1978
Hot Pastrami,The Dartells,11,1963
Go Away Little Girl,Steve Lawrence,8,1962
Like To Get To Know You,Spanky And Our Gang,11,1968
Lonely Blue Boy,Conway Twitty,14,1960
That Lucky Old Sun,Ray Charles,5,1964
Ain't Gonna Bump No More (with No Big Fat Woman),Joe Tex,18,1977
"Blue Morning, Blue Day",Foreigner,12,1979
September Morn',Neil Diamond,14,1980
A Walkin' Miracle,The Essex Featuring Anita Humes,10,1963
Struttin',Billy Preston,7,1975
Come To Me,France Joli,16,1979
Rhythm Is A Dancer,Snap!,20,1992
Beautiful Soul,Jesse McCartney,17,2005
Catch The Wind,Donovan,10,1965
Rock Steady,The Whispers,23,1987
According To You,Orianthi,19,2010
Born To Roll,Masta Ace Incorporated,20,1994
And I Am Telling You I'm Not Going,Jennifer Holliday,14,1982
Are You Happy Now?,Michelle Branch,20,2003
Come And Get Your Love,Redbone,23,1974
Songbird,Kenny G,22,1987
B-A-B-Y,Carla Thomas,16,1966
Don't Stop The Music,Yarbrough & Peoples,16,1981
Cool Kids,Echosmith,23,2014
By The Time I Get To Phoenix,Glen Campbell,10,1967
Birthday,Underground Sunshine,10,1969
Bossy,Kelis Featuring Too $hort,20,2006
Swayin' To The Music (slow Dancin'),Johnny Rivers,24,1977
All Cried Out,Lisa Lisa And Cult Jam With Full Force Featuring Paul Anthony & Bow Legged Lou,23,1986
Ready,Cat Stevens,6,1975
(Forever) Live And Die,Orchestral Manoeuvres In The Dark,14,1986
Stereo Love,Edward Maya & Vika Jigulina,10,2010
Do-Re-Mi,Lee Dorsey,7,1962
Show And Tell,Al Wilson,11,1973
Couldn't Get It Right,Climax Blues Band,22,1977
"Shame, Shame, Shame",Shirley And Company,16,1975
Power Of Love,Joe Simon,15,1972
Da' Dip,Freak Nasty,33,1997
Stars on 45 III,Stars On,10,1982
19 Somethin',Mark Wills,14,2003
Breaking Up Is Hard To Do,The Partridge Family Starring Shirley Jones Featuring David Cassidy,10,1972
Squeeze Box,The Who,11,1976
Bella Linda,The Grass Roots,4,1969
Ain't Nobody,Chaka Khan,14,1983
Rocky Mountain High,John Denver,13,1973
"Shame, Shame",Magic Lanterns,10,1968
Sister Christian,Night Ranger,24,1984
Athena,The Who,14,1982
Possession,Bad English,17,1990
Shake Your Body (Down To The Ground),The Jacksons,22,1979
Take A Picture,Filter,15,2000
Do Right,Paul Davis,14,1980
(Do The) Push And Pull Part I,Rufus Thomas,11,1971
Sky High,Jigsaw,18,1975
Cruisin',Smokey Robinson,13,1979
Soul Provider,Michael Bolton,17,1989
(Don't Fear) The Reaper,Blue Oyster Cult,20,1976
Smooth Criminal,Alien Ant Farm,19,2001
Small Beginnings,Flash,12,1972
50 Ways To Say Goodbye,Train,20,2012
Stereo Hearts,Gym Class Heroes Featuring Adam Levine,27,2011
I'd Still Say Yes,Klymaxx,20,1987
Nothin',N.O.R.E.,24,2002
Gypsy Woman,Brian Hyland,17,1970
Ghetto Child,The Spinners,8,1973
Livin' Ain't Livin',Firefall,8,1976
Lucky Me,Anne Murray,8,1980
Let's Do The Freddie,Chubby Checker,9,1965
Everybody Plays The Fool,The Main Ingredient,18,1972
My Name Is,Eminem,10,1999
Inside-Looking Out,The Animals,7,1966
History Repeats Itself,Buddy Starcher,7,1966
I Can't Stand To See You Cry,Smokey Robinson & The Miracles,5,1973
Let Me Go To Him,Dionne Warwick,7,1970
If I Were A Carpenter,Johnny Cash & June Carter,8,1970
F**k It (I Don't Want You Back),Eamon,17,2004
I Don't Mind,James Brown And The Famous Flames,8,1961
I Go Ape,Neil Sedaka,8,1959
I Do Take You,The Three Degrees,9,1970
How Is Julie?,The Lettermen,8,1962
On The Wings Of A Nightingale,The Everly Brothers,12,1984
Maria,Roger Williams,5,1962
It's All In Your Mind,Clarence Carter,8,1970
I Must Be Dreaming,Giuffria,10,1986
Little Bell,The Dixie Cups,7,1965
Hot Child In The City,Nick Gilder,30,1978
Needle In A Haystack,The Velvelettes,8,1964
First...Be A Woman,Lenore O'malley,8,1980
Hotel Room Service,Pitbull,23,2009
Lost Without U,Chris Jamison & Adam Levine,1,2015
I Am The Walrus,The Beatles,4,1967
Hot Mess,Cobra Starship,1,2009
Lost In Japan,Shawn Mendes X Zedd,13,2018
Money's Just A Touch Away,Mack 10 Featuring Gerald Levert,4,1998
I Kissed A Girl,Glee Cast,1,2011
I Hear You Knocking,Fats Domino,2,1961
Lookin' For Love,Johnny Lee,21,1980
Go Home,Stevie Wonder,6,1985
I Care 4 U,Aaliyah,19,2002
No Sleeep,Janet Featuring J. Cole,2,2015
I Don't Wanna Lose You Baby,Chad & Jeremy,7,1965
Girl All The Bad Guys Want,Bowling For Soup,9,2003
Hallelujah,Kate Voegele,1,2008
Nothing Without You,The Weeknd,1,2016
Hi Bich,Bhad Bhabie,1,2017
"Gee, But It's Lonely",Pat Boone,9,1958
I Dreamed A Dream,Anne Hathaway,3,2013
Imaginary Lover,Atlanta Rhythm Section,17,1978
Let It Be,Terry McDermott,1,2012
Messin' Around,Pitbull Featuring Enrique Iglesias,8,2016
Fireworks,Drake Featuring Alicia Keys,1,2010
Let A Man Come In And Do The Popcorn (Part Two),James Brown,2,1969
Free Fallin',Tom Petty,9,1989
Last Friday Night,Glee Cast,1,2011
Heaven,Kane Brown,1,2017
Dum-De-Da,Bobby Vinton,6,1966
Get Down,Craig Mack,1,1994
I Don't Want To Be,Gavin DeGraw,10,2004
Here's To Us,Glee Cast,1,2012
Love You Most Of All,Sam Cooke,7,1958
Oh Yeah,The Shadows Of Knight,6,1966
Hot Rod Hearts,Robbie Dupree,18,1980
Is This Love,Survivor,10,1986
I Look To You,Glee Cast,1,2010
I'm Her Fool,Billy Swan,4,1975
My Way,Elvis Presley,8,1977
Lay Down Sally,Eric Clapton,23,1978
How You Gonna See Me Now,Alice Cooper,11,1978
Jesse,Julian Lennon,6,1985
Let's Wait Awhile,Janet Jackson,19,1987
Gossip Folks,"Missy ""Misdemeanor"" Elliott Featuring Ludacris",1,2002
More Love,Smokey Robinson & The Miracles,11,1967
I Do,The Moments,6,1969
Let's Go 'round Again,Average White Band,8,1980
Friends,Jody Watley With Eric B. & Rakim,18,1989
Get It Shawty,Lloyd,22,2007
Man In The Mirror,Glee Cast,1,2011
It Was A Very Good Year,Frank Sinatra,1,1965
Love Never Fails,Greg Kihn Band,6,1983
Everlasting Love,Howard Jones,19,1989
It's Gonna Be A Lovely Day,The S.O.U.L. S.Y.S.T.E.M.,5,1992
No Me Dejes De Querer,Gloria Estefan,1,2000
Love,Musiq Soulchild,21,2001
Gangsta Nation,Westside Connection Featuring Nate Dogg,4,2003
My Way Of Life,Frank Sinatra,6,1968
Jambalaya (On The Bayou),The Blue Ridge Rangers,5,1972
Never Gonna Fall In Love Again,Eric Carmen,15,1976
Gotta Be The One,Maxine Nightingale,8,1976
I Belong To You,Lenny Kravitz,9,2000
Not Fade Away,Sheryl Crow,1,2007
Go Girl,Ciara Featuring T-Pain,1,2008
I Wish You Would,DJ Khaled Featuring Kanye West & Rick Ross,2,2012
Liability,Lorde,1,2017
La Paloma Twist,Chubby Checker,2,1962
If This Is Love (I'd Rather Be Lonely),The Precisions,6,1967
Georgy Porgy,Toto,10,1979
Lay Some Happiness On Me,Dean Martin,5,1967
It Must Be Him,Vikki Carr,15,1967
Life Is A Carnival,The Band,6,1971
I Believe In You (You Believe In Me),Johnnie Taylor,16,1973
I Don't See Me In Your Eyes Anymore,Charlie Rich,6,1974
Fire,Bruce Springsteen,8,1987
"Live My Life (From The Film ""Hiding Out"")",Boy George,1,1987
Found You,Kane Brown,1,2017
Jumpin On A Jet,Future,2,2019
Hot Pepper,Floyd Cramer,4,1962
First I Look At The Purse,The Contours,8,1965
Little Games,The Yardbirds,6,1967
Máh-Ná-Mah-Ná,Piero Umiliani,6,1969
Hold On,The Rascals,7,1970
Flesh And Blood,Johnny Cash,3,1970
I Believe I'm Gonna Love You,Frank Sinatra,7,1975
Falling,LeBlanc & Carr,12,1977
For You,Michael W. Smith,11,1991
House Full Of Reasons,Jude Cole,10,1991
Get A Life,Soul II Soul,11,1990
Meeting In The Ladies Room,Klymaxx,11,1985
Give Me All Night,Carly Simon,12,1987
If I Never Stop Loving You,David Kersh,16,1998
"Live, Laugh, Love",Clay Walker,7,2000
Fools Rush In (Where Angels Fear To Tread),Brook Benton,2,1961
Love Is Contagious,Taja Sevelle,10,1987
Fire Flame,Birdman Featuring Lil Wayne,8,2011
My Up And Down,Adina Howard,10,1995
Livin' On A Prayer,Bon Jovi,18,1987
I Will Always Love You,Whitney Houston,19,1993
Kyrie,Mr. Mister,18,1986
"Kokomo (From""Cocktail"" )",The Beach Boys,18,1988
I Love You Always Forever,Donna Lewis,28,1996
Is This Love,Whitesnake,9,1988
Gucci Gang,Lil Pump,14,2017
Get The Party Started,P!nk,14,2002
Just A Lil Bit,50 Cent,27,2005
Forget Him,Bobby Rydell,8,1964
Girl You Know It's True,Milli Vanilli,26,1989
I Love You Because,Al Martino,16,1963
Indiana Wants Me,R. Dean Taylor,15,1970
Don't Want To Say Goodbye,Raspberries,2,1972
"Don't Worry Mother, Your Son's Heart Is Pure",The McCoys,5,1966
Born This Way,Lady Gaga,20,2011
Sucker,Jonas Brothers,15,2019
One Week,Barenaked Ladies,13,1998
Solitaire,Clay Aiken,8,2004
24K Magic,Bruno Mars,10,2016
Please Me,Cardi B & Bruno Mars,17,2019
2 Become 1,Spice Girls,20,1997
So What,P!nk,17,2008
Take Care,Drake Featuring Rihanna,5,2011
Change,Taylor Swift,3,2008
All For You,Janet,22,2001
Break Free,Ariana Grande Featuring Zedd,22,2014
That's My Kind Of Night,Luke Bryan,18,2013
Cherish,David Cassidy,8,1971
Ships,Barry Manilow,12,1979
She Will Be Loved,Maroon 5,23,2004
That's All You Gotta Do,Brenda Lee,14,1960
Say It Right,Nelly Furtado,24,2007
"Somewhere, My Love",Ray Conniff And The Singers,12,1966
Anniversary,Tony Toni Tone,14,1993
Set The Night To Music,Roberta Flack With Maxi Priest,15,1991
Show Me The Meaning Of Being Lonely,Backstreet Boys,24,2000
I Was Jack (You Were Diane),Jake Owen,11,2018
I Wanna Get Back With You,Louie Louie,7,1990
I Wanna Know,Joe,44,2000
It's Over Now,L.A. Guns,11,1992
Don't Waste My Time,John Mayall,3,1969
Don't You Forget It,Glenn Lewis,15,2002
Part Of Me,Katy Perry,22,2012
Swagga Like Us,Jay-Z & T.I. Featuring Kanye West & Lil Wayne,14,2008
Applause,Lady Gaga,18,2013
Barbie Girl,Aqua,14,1997
Don't Matter To Me,Drake Featuring Michael Jackson,5,2018
Bitter Sweet Symphony,The Verve,20,1998
Paradise,Coldplay,14,2011
"Don't Cry For Me Argentina (From ""Evita"")",Madonna,16,1997
...Baby One More Time,Britney Spears,6,1998
Only Wanna Be With You,Hootie & The Blowfish,22,1995
"Can You Feel The Love Tonight (From ""The Lion King"")",Elton John,26,1994
Rich Girl,Daryl Hall John Oates,20,1977
Pink Cadillac,Natalie Cole,17,1988
Bad Time,Grand Funk,15,1975
Bus Stop,The Hollies,14,1966
Come To Me,Diddy Featuring Nicole Scherzinger,16,2006
Standing In The Shadows Of Love,Four Tops,7,1967
Story Of My Life,One Direction,25,2014
Summertime,Billy Stewart,10,1966
Reach Out Of The Darkness,Friend And Lover,14,1968
Don't Cry,Asia,13,1983
(We Ain't Got) Nothin' Yet,Blues Magoos,10,1967
All Right Now,Free,16,1970
I'll Always Have Faith In You,Carla Thomas,4,1967
Finally,CeCe Peniston,14,1991
Looking With My Eyes,Dionne Warwick,8,1965
Down By The Riverside,Les Compagnons De La Chanson,8,1960
Me And My Arrow,Nilsson,15,1971
I'm In A Philly Mood,Daryl Hall,2,1993
Love Me For What I Am/there Ain't No Way,Lobo,2,1973
Let Your Soul Be Your Pilot,Sting,5,1996
Gone Too Far,Eddie Rabbitt,4,1980
If You Were Mine,Marcos Hernandez,8,2005
French Foreign Legion,Frank Sinatra,7,1959
"Lullabye (Goodnight, My Angel)",Billy Joel,8,1994
Guns For Hire,AC/DC,5,1983
If You Gotta Make A Fool Of Somebody,Maxine Brown,6,1966
Hey Pretty Girl,Kip Moore,20,2013
Needles And Pins,Jackie DeShannon,4,1963
La Grange,ZZ Top,19,1974
La Dolce Vita (The Sweet Life),Ray Ellis And His Orchestra,5,1961
Miss California,Dante Thomas Featuring Pras,6,2001
One Mint Julep,Chet Atkins,6,1960
I'll Take You Home,"The Corsairs Featuring Jay ""Bird"" Uzzell",8,1962
More Than Miles,Brantley Gilbert,19,2013
Night Moves,Bob Seger,18,1977
One Heartbeat,Smokey Robinson,19,1987
Love Me,Yvonne Elliman,13,1976
Hold On! I'm A Comin',Sam & Dave,13,1966
From His Woman To You,Barbara Mason,5,1975
Find Your Way Back,Jefferson Starship,13,1981
Everyday,Phil Collins,20,1994
Let's Stay Together,Tina Turner,15,1984
Never On Sunday,Don Costa And His Orchestra And Chorus,15,1960
Let's Straighten It Out,Latimore,10,1974
No Brainer,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",15,2018
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,26,2013
Lies,Thompson Twins,16,1983
Love In The Shadows,Neil Sedaka,11,1976
Mama Used To Say,Junior,13,1982
I Only Wanna Be With You,Samantha Fox,13,1989
Snake,R. Kelly Featuring Big Tigger,17,2003
Crash And Burn,Savage Garden,20,2000
Best Day Of My Life,American Authors,31,2014
Come Inside,Intro,17,1993
Somewhere With You,Kenny Chesney,14,2011
Pop Goes The World,Men Without Hats,12,1988
Slowdown,John Miles,14,1977
15 Minutes,Marc Nelson,13,1999
Do You Want To Dance,Bobby Freeman,5,1958
"Step By Step (From ""The Preacher's Wife"")",Whitney Houston,17,1997
Bottoms Up,Trey Songz Featuring Nicki Minaj,18,2010
Telephone,Glee Cast,1,2010
Superman,Taylor Swift,1,2011
Crybaby,Mariah Carey Featuring Snoop Dogg,7,2000
(Sweet Sweet Baby) Since You've Been Gone,Aretha Franklin,12,1968
Spice Up Your Life,Spice Girls,8,1997
Do You Know? (The Ping Pong Song)/Dimelo,Enrique Iglesias,20,2007
Run The World (Girls),Beyonce,13,2011
Blunt Blowin,Lil Wayne,4,2011
Again,Fetty Wap,18,2015
Self Care,Mac Miller,3,2018
679,Fetty Wap Featuring Remy Boyz,24,2015
Body Party,Ciara,20,2013
4:44,JAY-Z,2,2017
Dancing In The Dark,Bruce Springsteen,21,1984
Rush Rush,Paula Abdul,19,1991
Signs,Drake,6,2017
All 4 Love,Color Me Badd,8,1991
Tell Her About It,Billy Joel,18,1983
Sunshine,Lil' Flip Featuring Lea,23,2004
Psychedelic Shack,The Temptations,11,1970
Baby I Need Your Loving,Four Tops,12,1964
Come On Down To My Boat,Every Mothers' Son,15,1967
Devoted To You,The Everly Brothers,14,1958
Don't Think Twice,The Wonder Who?,8,1965
Pineapple Princess,Annette With The Afterbeats,14,1960
Big Poppa/Warning,The Notorious B.I.G.,24,1995
Reflections Of My Life,The Marmalade,15,1970
Didn't I (Blow Your Mind),New Kids On The Block,16,1989
Take The Long Way Home,Supertramp,12,1979
Romeo,Dino,18,1990
Love Don't Live Here Anymore,Madonna,8,1996
Hold My Hand,Hootie & The Blowfish,13,1994
No Place That Far,Sara Evans,3,1998
Hush Lil' Lady,Corey Featuring Lil' Romeo,13,2002
It's Alright,Adam Faith With The Roulettes,8,1965
In Paradise,Laissez Faire,4,1991
I Need A Man,Grace Jones,6,1977
I'm Coming Home,Johnny Mathis,10,1973
Omen,Disclosure Featuring Sam Smith,6,2015
Georgia Took Her Back,R.B. Greaves,2,1970
I Would Be In Love (Anyway),Frank Sinatra,3,1970
Got It All,Eve & Jadakiss,5,2000
I Can't Stay Away From You,The Impressions,4,1967
In The Midnight Hour,Samantha Sang,2,1979
Natural High,Bloodstone,19,1973
Happy Weekend,"Dave ""Baby"" Cortez",7,1962
Lovey Dovey,Otis & Carla,6,1968
Jackie Blue,Ozark Mountain Daredevils,21,1975
I Wish I Knew (How It Would Feel To Be Free),Solomon Burke,8,1968
I Wouldn't Treat A Dog (The Way You Treated Me),Bobby Bland,6,1974
Have Mercy Baby,The Bobbettes,8,1960
Hookah,Tyga Featuring Young Thug,11,2014
Happy Days,Silk,5,1993
Nine Pound Steel,Joe Simon,9,1967
Hurt So Bad,The Lettermen,21,1969
If It Ain't Love,Jason Derulo,8,2016
Naggin,Ying Yang Twins,10,2003
For What It's Worth,King Curtis & The Kingpins,4,1967
In Another Land,Bill Wyman,2,1968
God In Me,"Mary Mary Featuring Kierra ""KiKi"" Sheard",20,2009
Mr. Lonely,Buddy Greco,11,1962
House Of Broken Love,Great White,5,1990
Gangsta Girl,Big Tymers Featuring R. Kelly,8,2004
Man Against The World,Survivor,5,1987
Lettin' The Night Roll,Justin Moore,20,2014
Lonesome Road,The Wonder Who?,4,1967
Look At Us,Sarina Paris,20,2001
It's Time,Imagine Dragons,28,2012
It Only Takes A Minute,Tavares,18,1975
I'm Happy That Love Has Found You,Jimmy Hall,14,1980
Half The Way,Crystal Gayle,14,1979
Little Bitty Pretty One,Clyde McPhatter,8,1962
Get Ready,Rare Earth,20,1970
Hey Joe,The Leaves,9,1966
ESPN Presents The Jock Jam,Various Artists,25,1997
More Than A Woman,Aaliyah,24,2002
Neutron Dance,The Pointer Sisters,17,1985
Make Me Belong To You,Barbara Lewis,8,1966
Happy Birthday Blues,Kathy Young With The Innocents,10,1961
Mystic Eyes,Them,8,1965
Gettin' Ready For Love,Diana Ross,9,1977
I Dreamed Of A Hill-Billy Heaven,Tex Ritter,12,1961
Letter Full Of Tears,Gladys Knight And The Pips,9,1962
Love At 1st Sight,Mary J. Blige Featuring Method Man,13,2003
